%
Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, the Altera Quartus II License Agreement,
the Altera MegaCore Function License Agreement, or other 
applicable license agreement, including, without limitation, 
that your use is for the sole purpose of programming logic 
devices manufactured by Altera and sold by Altera or its 
authorized distributors.  Please refer to the applicable 
agreement for further details.
%

GROUP CREATE div_centr:inst9|quotient[39..0] = div_centr:inst9|quotient[39] div_centr:inst9|quotient[38] div_centr:inst9|quotient[37] div_centr:inst9|quotient[36] div_centr:inst9|quotient[35] div_centr:inst9|quotient[34] div_centr:inst9|quotient[33] div_centr:inst9|quotient[32] div_centr:inst9|quotient[31] div_centr:inst9|quotient[30] div_centr:inst9|quotient[29] div_centr:inst9|quotient[28] div_centr:inst9|quotient[27] div_centr:inst9|quotient[26] div_centr:inst9|quotient[25] div_centr:inst9|quotient[24] div_centr:inst9|quotient[23] div_centr:inst9|quotient[22] div_centr:inst9|quotient[21] div_centr:inst9|quotient[20] div_centr:inst9|quotient[19] div_centr:inst9|quotient[18] div_centr:inst9|quotient[17] div_centr:inst9|quotient[16] div_centr:inst9|quotient[15] div_centr:inst9|quotient[14] div_centr:inst9|quotient[13] div_centr:inst9|quotient[12] div_centr:inst9|quotient[11] div_centr:inst9|quotient[10] div_centr:inst9|quotient[9] div_centr:inst9|quotient[8] div_centr:inst9|quotient[7] div_centr:inst9|quotient[6] div_centr:inst9|quotient[5] div_centr:inst9|quotient[4] div_centr:inst9|quotient[3] div_centr:inst9|quotient[2] div_centr:inst9|quotient[1] div_centr:inst9|quotient[0] ;
INPUTS div_centr:inst9|clock;
OUTPUTS div_centr:inst9|quotient[39..0];
UNIT ns;
RADIX HEX;
PATTERN
            0.0> 0 = XXXXXXXXXX 
    500000000.0> 1 = FFFFFFFFFF 
   1000000000.0> 0 = FFFFFFFFFF 
   1500000000.0> 1 = 0000024F06 
   2000000000.0> 0 = 0000024F06 
   2500000000.0> 1 = FFFFFFFFFF 
   3000000000.0> 0 = FFFFFFFFFF 
   3500000000.0> 1 = 0000055DE4 
   4000000000.0> 0 = 0000055DE4 
   4500000000.0> 1 = FFFFFFFFFF 
   5000000000.0> 0 = FFFFFFFFFF 
   5500000000.0> 1 = 0000086F7A 
   6000000000.0> 0 = 0000086F7A 
   6500000000.0> 1 = FFFFFFFFFF 
   7000000000.0> 0 = FFFFFFFFFF 
   7500000000.0> 1 = 00000B7457 
   8000000000.0> 0 = 00000B7457 
   8500000000.0> 1 = FFFFFFFFFF 
   9000000000.0> 0 = FFFFFFFFFF 
   9500000000.0> 1 = 00000E8A99 
  10000000000.0> 0 = 00000E8A99 
  10500000000.0> 1 = FFFFFFFFFF 
  11000000000.0> 0 = FFFFFFFFFF 
  11500000000.0> 1 = 000011938A 
  12000000000.0> 0 = 000011938A 
  12500000000.0> 1 = FFFFFFFFFF 
  13000000000.0> 0 = FFFFFFFFFF 
  13500000000.0> 1 = 000014A118 
  14000000000.0> 0 = 000014A118 
